Source,Target,Type,Label
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLCP,Directed,carries
TLCP,GmSSL 3.1.2 Dev,Directed,implemented_by
GmSSL 3.1.2 Dev,ECC-SM2 / ECC_SM4_CBC_SM3 / SM2-with-SM3,Directed,negotiates
ECC-SM2 / ECC_SM4_CBC_SM3 / SM2-with-SM3,SM2,Directed,uses
ECC-SM2 / ECC_SM4_CBC_SM3 / SM2-with-SM3,SMS4,Directed,uses
ECC-SM2 / ECC_SM4_CBC_SM3 / SM2-with-SM3,SM3,Directed,uses
ECC-SM2 / ECC_SM4_CBC_SM3 / SM2-with-SM3,SM2,Directed,uses
ECC-SM2 / ECC_SM4_CBC_SM3 / SM2-with-SM3,SM3,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,Directed,negotiates
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,ffdhe2048_supported,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,aes-128,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,sha-256,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,ecdsa_secp521r1,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,Directed,negotiates
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,ffdhe2048_supported,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,aes-128,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,sha-256,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,rsa-2048,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,sha-256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed25519,Directed,negotiates
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed25519,ffdhe2048_supported,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed25519,aes-128,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed25519,sha-256,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed25519,ed25519,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed25519,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,Directed,negotiates
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,ffdhe2048_supported,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,aes-128,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,sha-256,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,ecdsa_secp256r1,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,sha-256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,Directed,negotiates
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,ffdhe2048_supported,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,aes-128,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,sha-256,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,ecdsa_secp384r1,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,sha-384,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,Directed,negotiates
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,ffdhe2048_supported,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,aes-128,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,sha-256,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,rsa-2048,Directed,uses
ffdhe2048 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,sha-384,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe2048 / TLS_AES_128_GCM_SHA256 / ed448,Directed,negotiates
